orig,orig_name,dest,dest_name,duration,distance
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"56-58 Helston Rd, Paparangi, Wellington 6037, New Zealand",Johnsonville/Newlands,10886,13108
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"7 Cargill St, Karori, Wellington 6012, New Zealand",Karori,6935,7413
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"7 Dyer St, Epuni, Lower Hutt 5011, New Zealand",Epuni/Avalon,11441,22602
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"72 Endeavour St, Lyall Bay, Wellington 6022, New Zealand",Kilbirnie/Lyall Bay,1783,2370
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"80-82 Bell Rd, Waiwhetu, Lower Hutt 5010, New Zealand",Moera/Waiwhetu,9861,20629
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"84 Te Hapua Rd, Waikanae Beach, Te Horo 5581, New Zealand",Waikanae/Otaki,52639,69150
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"85 Northland Rd, Northland, Wellington 6012, New Zealand",Northland,5729,5731
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"91 Emerald Hill Dr, Birchville, Upper Hutt 5018, New Zealand",Totara Park/Maoribank/Te Marua,26835,42989
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"93-95 Ira St, Miramar, Wellington 6022, New Zealand",Miramar/Strathmore,2702,3530
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"99 Boulcott St, Wellington, 6011, New Zealand",Lambton,3609,3817
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"Ara Harakeke Way, Plimmerton, Porirua 5026, New Zealand",Paramata/Mana/Pukerua Bay,24556,31693
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,16067,19597
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,5303,7277
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,13335,17000
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"11-15 Datum Way, Paraparaumu 5032, New Zealand",Paraparaumu/Raumati,27904,37280
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"125 Seatoun Heights Rd, Seatoun, Wellington 6022, New Zealand",Oriental Bay/Seatoun,19396,23772
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"13 Camrose Grove, Kingston, Wellington 6021, New Zealand",Kingston/Happy Valley,16949,21017
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"13 The Sounding, Whitby, Porirua 5024, New Zealand",Papakowhai/Whitby/Pauatahanui,8051,10337
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"133-135 Kelburn Parade, Kelburn, Wellington 6012, New Zealand",Kelburn/Aro Valley,13814,17041
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"151-153 Tirohanga Rd, Tirohanga, Lower Hutt 5010, New Zealand",Western Hills/Haywards,15766,17687
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"18-20 Kowhai St, Naenae, Lower Hutt 5011, New Zealand",Taita/Naenae,18070,21435
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"184 Glenmorven Rd, Morrisons Bush 5794, New Zealand",Carterton/South Wairarapa,60880,75397
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"19 Finlay Terrace, Mount Cook, Wellington 6021, New Zealand",Mt Cook,14366,18218
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"2 Wadestown Rd, Thorndon, Wellington 6011, New Zealand",Wadestown/Thordon,11773,14680
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"21 Trevor Terrace, Newtown, Wellington 6021, New Zealand",Vogeltown/Berhampore/Newtown,15439,19602
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"21 Worcester Pl, Cannons Creek, Porirua 5024, New Zealand",Porirua East/Waitangirua,5141,6796
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"24 Pinehill Cres, Trentham, Upper Hutt 5018, New Zealand",Heretaunga/Silverstream,23169,29949
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"25 Stafford St, Mount Victoria, Wellington 6011, New Zealand",Mt Victoria/Roseneath,14049,17744
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"26 Fraser Cres, Elderslea, Upper Hutt 5018, New Zealand",Trentham West/Eldersley/Clouston Park,25686,33299
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"27 Wakefield St, Alicetown, Lower Hutt 5010, New Zealand",Petone West/Alicetown,16281,18582
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"32 Carlisle St, Island Bay, Wellington 6023, New Zealand",Island Bay/Melrose,17519,22271
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"36 Wilford St, Woburn, Lower Hutt 5011, New Zealand",Hutt Central/Waterloo,17040,19520
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"4 Apuka St, Brooklyn, Wellington 6021, New Zealand",Brooklyn,14930,18524
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"4-22 Te Ore Ore Settlement Rd, Lansdowne, Te Ore Ore 5886, New Zealand",Masterton,82068,104234
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"4-6 Speldhurst Grove, Stokes Valley, Lower Hutt 5019, New Zealand",Stokes Valley,21691,26237
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"42 The Strand, Wainuiomata, Lower Hutt 5014, New Zealand",Wainuiomata,22262,25583
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"43 Cuba St, Petone, Lower Hutt 5012, New Zealand",Petone/Esplanade,16755,19229
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"47 Cashmere Ave, Khandallah, Wellington 6035, New Zealand",Khandallah,8064,10193
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"47-49 McHardie St, Trentham, Upper Hutt 5018, New Zealand",Trentham North/Wallaceville,24753,32172
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"470 Parkvale Road, Wilton, Wellington 6012, New Zealand",Karori South/Makara,13505,16242
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"5 Trelissick Cres, Ngaio, Wellington 6035, New Zealand",Ngaio/Kaiwharawhara/Wilton,10047,12864
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"519 Marine Dr, Sunshine Bay, Lower Hutt 5013, New Zealand",Eastern Bays,22183,26352
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"56-58 Helston Rd, Paparangi, Wellington 6037, New Zealand",Johnsonville/Newlands,5983,7465
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"7 Cargill St, Karori, Wellington 6012, New Zealand",Karori,14661,18255
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"7 Dyer St, Epuni, Lower Hutt 5011, New Zealand",Epuni/Avalon,16686,19624
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"72 Endeavour St, Lyall Bay, Wellington 6022, New Zealand",Kilbirnie/Lyall Bay,17163,21899
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"80-82 Bell Rd, Waiwhetu, Lower Hutt 5010, New Zealand",Moera/Waiwhetu,17305,19858
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"84 Te Hapua Rd, Waikanae Beach, Te Horo 5581, New Zealand",Waikanae/Otaki,37209,49868
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"85 Northland Rd, Northland, Wellington 6012, New Zealand",Northland,13741,17138
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"91 Emerald Hill Dr, Birchville, Upper Hutt 5018, New Zealand",Totara Park/Maoribank/Te Marua,30453,39535
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"93-95 Ira St, Miramar, Wellington 6022, New Zealand",Miramar/Strathmore,18383,22723
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"99 Boulcott St, Wellington, 6011, New Zealand",Lambton,12800,16088
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"Ara Harakeke Way, Plimmerton, Porirua 5026, New Zealand",Paramata/Mana/Pukerua Bay,9127,12411
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,21176,26560
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,5375,7277
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,18443,23963
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"11-15 Datum Way, Paraparaumu 5032, New Zealand",Paraparaumu/Raumati,26197,34860
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"125 Seatoun Heights Rd, Seatoun, Wellington 6022, New Zealand",Oriental Bay/Seatoun,24504,30736
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"13 Camrose Grove, Kingston, Wellington 6021, New Zealand",Kingston/Happy Valley,22058,27980
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"13 The Sounding, Whitby, Porirua 5024, New Zealand",Papakowhai/Whitby/Pauatahanui,6343,7917
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"133-135 Kelburn Parade, Kelburn, Wellington 6012, New Zealand",Kelburn/Aro Valley,18922,24005
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"151-153 Tirohanga Rd, Tirohanga, Lower Hutt 5010, New Zealand",Western Hills/Haywards,15539,17519
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"18-20 Kowhai St, Naenae, Lower Hutt 5011, New Zealand",Taita/Naenae,17301,20348
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"184 Glenmorven Rd, Morrisons Bush 5794, New Zealand",Carterton/South Wairarapa,59172,72977
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"19 Finlay Terrace, Mount Cook, Wellington 6021, New Zealand",Mt Cook,19475,25181
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"2 Wadestown Rd, Thorndon, Wellington 6011, New Zealand",Wadestown/Thordon,16881,21644
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"21 Trevor Terrace, Newtown, Wellington 6021, New Zealand",Vogeltown/Berhampore/Newtown,20548,26565
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"21 Worcester Pl, Cannons Creek, Porirua 5024, New Zealand",Porirua East/Waitangirua,4208,5490
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"24 Pinehill Cres, Trentham, Upper Hutt 5018, New Zealand",Heretaunga/Silverstream,21462,27529
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"25 Stafford St, Mount Victoria, Wellington 6011, New Zealand",Mt Victoria/Roseneath,19158,24708
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"26 Fraser Cres, Elderslea, Upper Hutt 5018, New Zealand",Trentham West/Eldersley/Clouston Park,23979,30879
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"27 Wakefield St, Alicetown, Lower Hutt 5010, New Zealand",Petone West/Alicetown,17879,20022
