orig_name,dest_name,card_fare
Johnsonville/Newlands,Ngaio/Kaiwharawhara/Wilton,1.56
Johnsonville/Newlands,Northland,6.65
Johnsonville/Newlands,Oriental Bay/Seatoun,9.39
Johnsonville/Newlands,Papakowhai/Whitby/Pauatahanui,6.65
Johnsonville/Newlands,Paramata/Mana/Pukerua Bay,6.65
Johnsonville/Newlands,Paraparaumu/Raumati,10.56
Johnsonville/Newlands,Petone West/Alicetown,5.87
Johnsonville/Newlands,Petone/Esplanade,4.3
Johnsonville/Newlands,Porirua East/Waitangirua,5.48
Johnsonville/Newlands,Stokes Valley,9.39
Johnsonville/Newlands,Taita/Naenae,6.65
Johnsonville/Newlands,Tawa/Grenada North,2.74
Johnsonville/Newlands,Te Aro,5.48
Johnsonville/Newlands,Titahi Bay/Onepoto/Elsdon,4.3
Johnsonville/Newlands,Totara Park/Maoribank/Te Marua,10.17
Johnsonville/Newlands,Trentham North/Wallaceville,8.61
Johnsonville/Newlands,Trentham West/Eldersley/Clouston Park,8.61
Johnsonville/Newlands,Vogeltown/Berhampore/Newtown,6.65
Johnsonville/Newlands,Wadestown/Thordon,3.91
Johnsonville/Newlands,Waikanae/Otaki,
Johnsonville/Newlands,Wainuiomata,8.61
Johnsonville/Newlands,Western Hills/Haywards,7.43
Karori,Brooklyn,6.65
Karori,Carterton/South Wairarapa,
Karori,Eastern Bays,12.52
Karori,Epuni/Avalon,10.95
Karori,Hataitai,6.65
Karori,Heretaunga/Silverstream,14.08
Karori,Hutt Central/Waterloo,8.22
Karori,Island Bay/Melrose,7.82
Karori,Johnsonville/Newlands,7.82
Karori,Karori South/Makara,4.69
Karori,Kelburn/Aro Valley,2.74
Karori,Khandallah,7.82
Karori,Kilbirnie/Lyall Bay,7.82
Karori,Kingston/Happy Valley,6.65
Karori,Lambton,3.91
Karori,Masterton,
Karori,Miramar/Strathmore,7.82
Karori,Moera/Waiwhetu,8.22
Karori,Mt Cook,6.65
Karori,Mt Victoria/Roseneath,3.91
Karori,Ngaio/Kaiwharawhara/Wilton,7.82
Karori,Northland,1.56
Karori,Oriental Bay/Seatoun,7.82
Karori,Papakowhai/Whitby/Pauatahanui,11.74
Karori,Paramata/Mana/Pukerua Bay,10.17
Karori,Paraparaumu/Raumati,14.47
Karori,Petone West/Alicetown,8.22
Karori,Petone/Esplanade,8.22
Karori,Porirua East/Waitangirua,10.56
Karori,Stokes Valley,12.13
Karori,Taita/Naenae,10.95
Karori,Tawa/Grenada North,8.22
Karori,Te Aro,3.91
Karori,Titahi Bay/Onepoto/Elsdon,11.74
Karori,Totara Park/Maoribank/Te Marua,12.52
Karori,Trentham North/Wallaceville,12.52
Karori,Trentham West/Eldersley/Clouston Park,10.95
Karori,Vogeltown/Berhampore/Newtown,6.65
Karori,Wadestown/Thordon,3.91
Karori,Waikanae/Otaki,
Karori,Wainuiomata,10.95
Karori,Western Hills/Haywards,8.22
Karori South/Makara,Brooklyn,5.48
Karori South/Makara,Carterton/South Wairarapa,
Karori South/Makara,Eastern Bays,11.34
Karori South/Makara,Epuni/Avalon,9.39
Karori South/Makara,Hataitai,5.48
Karori South/Makara,Heretaunga/Silverstream,9.0
Karori South/Makara,Hutt Central/Waterloo,7.04
Karori South/Makara,Island Bay/Melrose,6.65
Karori South/Makara,Johnsonville/Newlands,6.65
Karori South/Makara,Karori,3.13
Karori South/Makara,Kelburn/Aro Valley,1.56
Karori South/Makara,Khandallah,5.48
Karori South/Makara,Kilbirnie/Lyall Bay,6.65
Karori South/Makara,Kingston/Happy Valley,5.48
Karori South/Makara,Lambton,2.74
Karori South/Makara,Masterton,
Karori South/Makara,Miramar/Strathmore,7.04
Karori South/Makara,Moera/Waiwhetu,7.04
Karori South/Makara,Mt Cook,5.48
Karori South/Makara,Mt Victoria/Roseneath,2.74
Karori South/Makara,Ngaio/Kaiwharawhara/Wilton,1.56
Karori South/Makara,Northland,1.56
Karori South/Makara,Oriental Bay/Seatoun,7.04
Karori South/Makara,Papakowhai/Whitby/Pauatahanui,10.56
Karori South/Makara,Paramata/Mana/Pukerua Bay,9.0
Karori South/Makara,Paraparaumu/Raumati,13.3
Karori South/Makara,Petone West/Alicetown,7.04
Karori South/Makara,Petone/Esplanade,9.78
Karori South/Makara,Porirua East/Waitangirua,9.39
Karori South/Makara,Stokes Valley,10.95
Karori South/Makara,Taita/Naenae,7.82
Karori South/Makara,Tawa/Grenada North,7.04
Karori South/Makara,Te Aro,4.3
Karori South/Makara,Titahi Bay/Onepoto/Elsdon,10.56
Karori South/Makara,Totara Park/Maoribank/Te Marua,11.34
Karori South/Makara,Trentham North/Wallaceville,9.78
Karori South/Makara,Trentham West/Eldersley/Clouston Park,9.78
Karori South/Makara,Vogeltown/Berhampore/Newtown,3.91
Karori South/Makara,Wadestown/Thordon,1.56
Karori South/Makara,Waikanae/Otaki,
Karori South/Makara,Wainuiomata,9.78
Karori South/Makara,Western Hills/Haywards,7.04
Kelburn/Aro Valley,Brooklyn,2.74
Kelburn/Aro Valley,Carterton/South Wairarapa,
Kelburn/Aro Valley,Eastern Bays,11.34
Kelburn/Aro Valley,Epuni/Avalon,9.39
Kelburn/Aro Valley,Hataitai,2.74
Kelburn/Aro Valley,Heretaunga/Silverstream,9.0
Kelburn/Aro Valley,Hutt Central/Waterloo,7.04
Kelburn/Aro Valley,Island Bay/Melrose,6.65
Kelburn/Aro Valley,Johnsonville/Newlands,4.3
Kelburn/Aro Valley,Karori,2.74
Kelburn/Aro Valley,Karori South/Makara,1.56
Kelburn/Aro Valley,Khandallah,2.74
Kelburn/Aro Valley,Kilbirnie/Lyall Bay,3.91
Kelburn/Aro Valley,Kingston/Happy Valley,2.74
Kelburn/Aro Valley,Lambton,2.74
Kelburn/Aro Valley,Masterton,
Kelburn/Aro Valley,Miramar/Strathmore,3.91
Kelburn/Aro Valley,Moera/Waiwhetu,7.04
Kelburn/Aro Valley,Mt Cook,3.91
Kelburn/Aro Valley,Mt Victoria/Roseneath,6.26
Kelburn/Aro Valley,Ngaio/Kaiwharawhara/Wilton,2.74
Kelburn/Aro Valley,Northland,1.56
Kelburn/Aro Valley,Oriental Bay/Seatoun,3.91
Kelburn/Aro Valley,Papakowhai/Whitby/Pauatahanui,10.56
Kelburn/Aro Valley,Paramata/Mana/Pukerua Bay,9.0
Kelburn/Aro Valley,Paraparaumu/Raumati,13.3
Kelburn/Aro Valley,Petone West/Alicetown,7.04
Kelburn/Aro Valley,Petone/Esplanade,4.3
Kelburn/Aro Valley,Porirua East/Waitangirua,9.39
Kelburn/Aro Valley,Stokes Valley,10.56
Kelburn/Aro Valley,Taita/Naenae,7.82
Kelburn/Aro Valley,Tawa/Grenada North,10.56
Kelburn/Aro Valley,Te Aro,2.74
Kelburn/Aro Valley,Titahi Bay/Onepoto/Elsdon,10.56
Kelburn/Aro Valley,Totara Park/Maoribank/Te Marua,11.34
Kelburn/Aro Valley,Trentham North/Wallaceville,9.78
Kelburn/Aro Valley,Trentham West/Eldersley/Clouston Park,9.78
Kelburn/Aro Valley,Vogeltown/Berhampore/Newtown,3.91
Kelburn/Aro Valley,Wadestown/Thordon,2.74
Kelburn/Aro Valley,Waikanae/Otaki,
Kelburn/Aro Valley,Wainuiomata,9.78
Kelburn/Aro Valley,Western Hills/Haywards,7.04
Khandallah,Brooklyn,6.65
Khandallah,Carterton/South Wairarapa,
Khandallah,Eastern Bays,4.3
Khandallah,Epuni/Avalon,10.56
Khandallah,Hataitai,6.65
Khandallah,Heretaunga/Silverstream,10.17
Khandallah,Hutt Central/Waterloo,8.22
Khandallah,Island Bay/Melrose,7.82
Khandallah,Johnsonville/Newlands,3.13
Khandallah,Karori,7.82
Khandallah,Karori South/Makara,2.74
Khandallah,Kelburn/Aro Valley,3.91
Khandallah,Kilbirnie/Lyall Bay,7.82
Khandallah,Kingston/Happy Valley,6.65
Khandallah,Lambton,3.91
Khandallah,Masterton,
Khandallah,Miramar/Strathmore,3.91
Khandallah,Moera/Waiwhetu,8.22
Khandallah,Mt Cook,6.65
Khandallah,Mt Victoria/Roseneath,3.91
Khandallah,Ngaio/Kaiwharawhara/Wilton,1.56
Khandallah,Northland,6.65
Khandallah,Oriental Bay/Seatoun,7.82
Khandallah,Papakowhai/Whitby/Pauatahanui,8.22
Khandallah,Paramata/Mana/Pukerua Bay,10.17
Khandallah,Paraparaumu/Raumati,12.13
Khandallah,Petone West/Alicetown,8.22
Khandallah,Petone/Esplanade,2.74
Khandallah,Porirua East/Waitangirua,7.04
Khandallah,Stokes Valley,11.74
Khandallah,Taita/Naenae,9.0
Khandallah,Tawa/Grenada North,4.3
Khandallah,Te Aro,3.91
Khandallah,Titahi Bay/Onepoto/Elsdon,5.87
Khandallah,Totara Park/Maoribank/Te Marua,12.52
Khandallah,Trentham North/Wallaceville,10.95
Khandallah,Trentham West/Eldersley/Clouston Park,10.95
Khandallah,Vogeltown/Berhampore/Newtown,6.65
Khandallah,Wadestown/Thordon,3.91
Khandallah,Waikanae/Otaki,
Khandallah,Wainuiomata,10.95
Khandallah,Western Hills/Haywards,8.22
Kilbirnie/Lyall Bay,Brooklyn,2.74
Kilbirnie/Lyall Bay,Carterton/South Wairarapa,
Kilbirnie/Lyall Bay,Eastern Bays,10.17
Kilbirnie/Lyall Bay,Epuni/Avalon,10.56
Kilbirnie/Lyall Bay,Hataitai,2.74
Kilbirnie/Lyall Bay,Heretaunga/Silverstream,14.08
Kilbirnie/Lyall Bay,Hutt Central/Waterloo,8.22
Kilbirnie/Lyall Bay,Island Bay/Melrose,5.48
Kilbirnie/Lyall Bay,Johnsonville/Newlands,7.82
Kilbirnie/Lyall Bay,Karori,3.91
Kilbirnie/Lyall Bay,Karori South/Makara,6.65
Kilbirnie/Lyall Bay,Kelburn/Aro Valley,3.91
Kilbirnie/Lyall Bay,Khandallah,6.65
Kilbirnie/Lyall Bay,Kingston/Happy Valley,4.3
Kilbirnie/Lyall Bay,Lambton,3.91
