origin,destination,time,distance
Avondale,Herne Bay/St Marys,665.0,8.776
Avondale,Highland Park,1474.0,27.183
Avondale,Hillcrest/Northcote,1178.0,17.851
Avondale,Hillsborough,663.0,8.869
Avondale,Howick,1668.0,30.109
Avondale,Kelston,363.0,3.865
Avondale,Kingsland,650.0,7.327
Avondale,Kohimarama,1312.0,19.474
Avondale,Lynfield,533.0,5.509
Avondale,Mangere,970.0,15.704
Avondale,Mangere Bridge/Airport,849.0,14.6
Avondale,Mangere East,997.0,18.011
Avondale,Manukau Central,1206.0,23.443
Avondale,Manukau Heights and Manurewa Heights,1420.0,26.268
Avondale,Manurewa North,1492.0,26.454
Avondale,Maraetai/Clevedon,2185.0,40.276
Avondale,Massey/Royal Heights,658.0,11.212
Avondale,Meadowbank,1125.0,18.157
Avondale,Mission Bay/Orakei,1204.0,17.697
Avondale,Mt Albert/Owairaka,412.0,4.4
Avondale,Mt Eden,759.0,8.786
Avondale,Mt Roskill/Wesley,523.0,5.761
Avondale,Mt Wellington,1108.0,19.005
Avondale,Mt Wellington North,1089.0,19.057
Avondale,New Lynn,227.0,2.593
Avondale,Newmarket,816.0,12.216
Avondale,Newton/Grafton,758.0,10.021
Avondale,North Harbour/Pine Hill,1406.0,29.053
Avondale,Onehunga/Oranga/Te Papapa,893.0,12.561
Avondale,Orewa/Whangaparaoa,,
Avondale,Otahuhu,1174.0,19.036
Avondale,Otara,1403.0,27.589
Avondale,Pakuranga,1226.0,23.329
Avondale,Panmure,1238.0,20.942
Avondale,Papakura/Drury/Karaka,1715.0,36.025
Avondale,Papatoetoe North,1261.0,23.138
Avondale,Papatoetoe South,1306.0,23.167
Avondale,Papatoetoe West,1150.0,21.491
Avondale,Parnell,843.0,13.317
Avondale,Penrose/Mt Wellington South,1057.0,19.897
Avondale,Ponsonby/Freemans Bay,789.0,9.938
Avondale,Pt Chevalier,390.0,4.43
Avondale,Pukekohe/Tuakau,2412.0,54.062
Avondale,Ranui,846.0,12.049
Avondale,Remuera,896.0,14.806
Avondale,Remuera South/Meadowbank South,1037.0,17.171
Avondale,Rewiti/Kumeu/Riverhead,1067.0,21.132
Avondale,Rothesay/Murrays/Mairangi Bays,1511.0,29.144
Avondale,Royal Oak/One Tree Hill,1018.0,10.947
Avondale,Rural Franklin,2397.0,54.134
Avondale,St Helliers/Glendowie,1410.0,21.993
