origin,destination,time,distance
Avondale,Howick,3836.0,26.089
Avondale,Kelston,594.0,3.825
Avondale,Kingsland,1047.0,6.673
Avondale,Kohimarama,3195.0,19.931
Avondale,Lynfield,844.0,5.44
Avondale,Mangere,2576.0,16.68
Avondale,Mangere Bridge/Airport,2310.0,14.967
Avondale,Mangere East,2917.0,18.989
Avondale,Manukau Central,3836.0,25.003
Avondale,Manukau Heights and Manurewa Heights,4220.0,27.723
Avondale,Manurewa North,4378.0,28.974
Avondale,Maraetai/Clevedon,6003.0,38.817
Avondale,Massey/Royal Heights,1609.0,10.437
Avondale,Meadowbank,2326.0,15.531
Avondale,Mission Bay/Orakei,2884.0,17.831
Avondale,Mt Albert/Owairaka,593.0,3.497
Avondale,Mt Eden,1188.0,7.58
Avondale,Mt Roskill/Wesley,835.0,5.281
Avondale,Mt Wellington,2333.0,15.719
Avondale,Mt Wellington North,2340.0,15.771
Avondale,New Lynn,384.0,2.569
Avondale,Newmarket,1896.0,11.691
Avondale,Newton/Grafton,1482.0,9.009
Avondale,North Harbour/Pine Hill,4838.0,30.985
Avondale,Onehunga/Oranga/Te Papapa,1722.0,11.296
Avondale,Orewa/Whangaparaoa,,
Avondale,Otahuhu,2818.0,18.739
Avondale,Otara,3544.0,23.784
Avondale,Pakuranga,3137.0,21.397
Avondale,Panmure,2600.0,17.656
Avondale,Papakura/Drury/Karaka,5374.0,36.451
Avondale,Papatoetoe North,3240.0,21.695
Avondale,Papatoetoe South,3429.0,23.044
Avondale,Papatoetoe West,3204.0,21.047
Avondale,Parnell,1981.0,12.539
Avondale,Penrose/Mt Wellington South,2683.0,18.092
Avondale,Ponsonby/Freemans Bay,1338.0,8.732
Avondale,Pt Chevalier,670.0,4.393
Avondale,Pukekohe/Tuakau,,
Avondale,Ranui,1836.0,11.882
Avondale,Remuera,2038.0,13.471
Avondale,Remuera South/Meadowbank South,2242.0,14.578
Avondale,Rewiti/Kumeu/Riverhead,3836.0,24.128
Avondale,Rothesay/Murrays/Mairangi Bays,4999.0,32.374
Avondale,Royal Oak/One Tree Hill,1731.0,10.947
Avondale,Rural Franklin,9682.0,64.639
Avondale,St Helliers/Glendowie,3453.0,21.554
Avondale,St Johns,2563.0,16.736
Avondale,St Lukes/Sandringham,985.0,6.452
Avondale,Sunnynook/Westlake,4813.0,31.064
Avondale,Takanini/Ardmore,5082.0,34.224
Avondale,Takapuna,5334.0,34.587
Avondale,Te Atatu,1157.0,7.505
Avondale,Te Atatu Peninsula,1415.0,9.178
Avondale,Three Kings,1121.0,7.289
Avondale,Titirangi,1261.0,7.199
Avondale,Torbay,5222.0,34.098
Avondale,Waiheke Island,6583.0,45.95
Avondale,Wairau Park/Glenfield North,4429.0,28.313
Avondale,Waiuku,,
Avondale,Waterview/Avondale Heights,225.0,1.436
Avondale,Wattle Downs/Conifer Grove,4722.0,31.185
Avondale,Wellsford/Warkworth/Helensville,,
Avondale,West Harbour,2601.0,16.924
Avondale,Western Beaches/Rural,4522.0,25.051
