orig,orig_name,dest,dest_name,duration,distance
,St Lukes/Sandringham,,Avondale,,
,Sunnynook/Westlake,,Avondale,,
,Takanini/Ardmore,,Avondale,,
,Takapuna,,Avondale,,
,Te Atatu,,Avondale,,
,Te Atatu Peninsula,,Avondale,,
,Three Kings,,Avondale,,
,Titirangi,,Avondale,,
,Torbay,,Avondale,,
,Waiheke Island,,Avondale,,
,Wairau Park/Glenfield North,,Avondale,,
,Waiuku,,Avondale,,
,Waterview/Avondale Heights,,Avondale,,
,Wattle Downs/Conifer Grove,,Avondale,,
,Wellsford/Warkworth/Helensville,,Avondale,,
,West Harbour,,Avondale,,
,Western Beaches/Rural,,Avondale,,
,Western Springs/Morningside,,Avondale,,
,Westmere/Surrey Crescent,,Avondale,,
,Weymouth,,Avondale,,
,Albany,,Balmoral,,
,Avondale,,Balmoral,,
,Balmoral,,Balmoral,,
,Beachhaven/Birkdale,,Balmoral,,
,Blockhouse Bay/New Windsor,,Balmoral,,
,Botony Downs,,Balmoral,,
,Browns Bay,,Balmoral,,
,Bucklands Beach,,Balmoral,,
,Central East,,Balmoral,,
,Central West,,Balmoral,,
,Chatswood/Birkenhead/Northcote Point,,Balmoral,,
,Dannemora,,Balmoral,,
,Devonport,,Balmoral,,
,East Coast Bays,,Balmoral,,
,Eden Terrace,,Balmoral,,
,Ellerslie,,Balmoral,,
,Epsom,,Balmoral,,
,Glen Eden,,Balmoral,,
,Glen Innes/Pt England/Wai O Taiki,,Balmoral,,
,Glendene,,Balmoral,,
,Glendhu/Glenfield,,Balmoral,,
,Greenhithe/Unsworth Heights,,Balmoral,,
,Grey Lynn/Arch Hill,,Balmoral,,
,Gulf Harbour,,Balmoral,,
,Half Moon Bay/Farm Cove,,Balmoral,,
,Henderson,,Balmoral,,
,Herne Bay/St Marys,,Balmoral,,
,Highland Park,,Balmoral,,
,Hillcrest/Northcote,,Balmoral,,
,Hillsborough,,Balmoral,,
,Howick,,Balmoral,,
,Kelston,,Balmoral,,
,Kingsland,,Balmoral,,
,Kohimarama,,Balmoral,,
,Lynfield,,Balmoral,,
,Mangere,,Balmoral,,
,Mangere Bridge/Airport,,Balmoral,,
,Mangere East,,Balmoral,,
,Manukau Central,,Balmoral,,
,Manukau Heights and Manurewa Heights,,Balmoral,,
,Manurewa North,,Balmoral,,
,Maraetai/Clevedon,,Balmoral,,
,Massey/Royal Heights,,Balmoral,,
,Meadowbank,,Balmoral,,
,Mission Bay/Orakei,,Balmoral,,
,Mt Albert/Owairaka,,Balmoral,,
,Mt Eden,,Balmoral,,
,Mt Roskill/Wesley,,Balmoral,,
,Mt Wellington,,Balmoral,,
,Mt Wellington North,,Balmoral,,
,New Lynn,,Balmoral,,
,Newmarket,,Balmoral,,
,Newton/Grafton,,Balmoral,,
,North Harbour/Pine Hill,,Balmoral,,
,Onehunga/Oranga/Te Papapa,,Balmoral,,
,Orewa/Whangaparaoa,,Balmoral,,
,Otahuhu,,Balmoral,,
,Otara,,Balmoral,,
,Pakuranga,,Balmoral,,
,Panmure,,Balmoral,,
,Papakura/Drury/Karaka,,Balmoral,,
,Papatoetoe North,,Balmoral,,
,Papatoetoe South,,Balmoral,,
,Papatoetoe West,,Balmoral,,
,Parnell,,Balmoral,,
,Penrose/Mt Wellington South,,Balmoral,,
,Ponsonby/Freemans Bay,,Balmoral,,
,Pt Chevalier,,Balmoral,,
,Pukekohe/Tuakau,,Balmoral,,
,Ranui,,Balmoral,,
,Remuera,,Balmoral,,
,Remuera South/Meadowbank South,,Balmoral,,
,Rewiti/Kumeu/Riverhead,,Balmoral,,
,Rothesay/Murrays/Mairangi Bays,,Balmoral,,
,Royal Oak/One Tree Hill,,Balmoral,,
,Rural Franklin,,Balmoral,,
,St Helliers/Glendowie,,Balmoral,,
,St Johns,,Balmoral,,
,St Lukes/Sandringham,,Balmoral,,
,Sunnynook/Westlake,,Balmoral,,
,Takanini/Ardmore,,Balmoral,,
,Takapuna,,Balmoral,,
,Te Atatu,,Balmoral,,
,Te Atatu Peninsula,,Balmoral,,
,Three Kings,,Balmoral,,
,Titirangi,,Balmoral,,
,Torbay,,Balmoral,,
,Waiheke Island,,Balmoral,,
,Wairau Park/Glenfield North,,Balmoral,,
,Waiuku,,Balmoral,,
,Waterview/Avondale Heights,,Balmoral,,
,Wattle Downs/Conifer Grove,,Balmoral,,
,Wellsford/Warkworth/Helensville,,Balmoral,,
,West Harbour,,Balmoral,,
,Western Beaches/Rural,,Balmoral,,
,Western Springs/Morningside,,Balmoral,,
,Westmere/Surrey Crescent,,Balmoral,,
,Weymouth,,Balmoral,,
,Albany,,Beachhaven/Birkdale,,
,Avondale,,Beachhaven/Birkdale,,
,Balmoral,,Beachhaven/Birkdale,,
,Beachhaven/Birkdale,,Beachhaven/Birkdale,,
,Blockhouse Bay/New Windsor,,Beachhaven/Birkdale,,
,Botony Downs,,Beachhaven/Birkdale,,
,Browns Bay,,Beachhaven/Birkdale,,
,Bucklands Beach,,Beachhaven/Birkdale,,
,Central East,,Beachhaven/Birkdale,,
,Central West,,Beachhaven/Birkdale,,
,Chatswood/Birkenhead/Northcote Point,,Beachhaven/Birkdale,,
,Dannemora,,Beachhaven/Birkdale,,
,Devonport,,Beachhaven/Birkdale,,
,East Coast Bays,,Beachhaven/Birkdale,,
,Eden Terrace,,Beachhaven/Birkdale,,
,Ellerslie,,Beachhaven/Birkdale,,
,Epsom,,Beachhaven/Birkdale,,
,Glen Eden,,Beachhaven/Birkdale,,
,Glen Innes/Pt England/Wai O Taiki,,Beachhaven/Birkdale,,
,Glendene,,Beachhaven/Birkdale,,
,Glendhu/Glenfield,,Beachhaven/Birkdale,,
,Greenhithe/Unsworth Heights,,Beachhaven/Birkdale,,
,Grey Lynn/Arch Hill,,Beachhaven/Birkdale,,
,Gulf Harbour,,Beachhaven/Birkdale,,
,Half Moon Bay/Farm Cove,,Beachhaven/Birkdale,,
,Henderson,,Beachhaven/Birkdale,,
,Herne Bay/St Marys,,Beachhaven/Birkdale,,
,Highland Park,,Beachhaven/Birkdale,,
,Hillcrest/Northcote,,Beachhaven/Birkdale,,
,Hillsborough,,Beachhaven/Birkdale,,
,Howick,,Beachhaven/Birkdale,,
,Kelston,,Beachhaven/Birkdale,,
,Kingsland,,Beachhaven/Birkdale,,
,Kohimarama,,Beachhaven/Birkdale,,
,Lynfield,,Beachhaven/Birkdale,,
,Mangere,,Beachhaven/Birkdale,,
,Mangere Bridge/Airport,,Beachhaven/Birkdale,,
,Mangere East,,Beachhaven/Birkdale,,
,Manukau Central,,Beachhaven/Birkdale,,
,Manukau Heights and Manurewa Heights,,Beachhaven/Birkdale,,
,Manurewa North,,Beachhaven/Birkdale,,
,Maraetai/Clevedon,,Beachhaven/Birkdale,,
,Massey/Royal Heights,,Beachhaven/Birkdale,,
,Meadowbank,,Beachhaven/Birkdale,,
,Mission Bay/Orakei,,Beachhaven/Birkdale,,
,Mt Albert/Owairaka,,Beachhaven/Birkdale,,
,Mt Eden,,Beachhaven/Birkdale,,
,Mt Roskill/Wesley,,Beachhaven/Birkdale,,
,Mt Wellington,,Beachhaven/Birkdale,,
,Mt Wellington North,,Beachhaven/Birkdale,,
,New Lynn,,Beachhaven/Birkdale,,
,Newmarket,,Beachhaven/Birkdale,,
,Newton/Grafton,,Beachhaven/Birkdale,,
,North Harbour/Pine Hill,,Beachhaven/Birkdale,,
,Onehunga/Oranga/Te Papapa,,Beachhaven/Birkdale,,
,Orewa/Whangaparaoa,,Beachhaven/Birkdale,,
,Otahuhu,,Beachhaven/Birkdale,,
,Otara,,Beachhaven/Birkdale,,
,Pakuranga,,Beachhaven/Birkdale,,
,Panmure,,Beachhaven/Birkdale,,
,Papakura/Drury/Karaka,,Beachhaven/Birkdale,,
,Papatoetoe North,,Beachhaven/Birkdale,,
,Papatoetoe South,,Beachhaven/Birkdale,,
,Papatoetoe West,,Beachhaven/Birkdale,,
,Parnell,,Beachhaven/Birkdale,,
,Penrose/Mt Wellington South,,Beachhaven/Birkdale,,
,Ponsonby/Freemans Bay,,Beachhaven/Birkdale,,
,Pt Chevalier,,Beachhaven/Birkdale,,
,Pukekohe/Tuakau,,Beachhaven/Birkdale,,
,Ranui,,Beachhaven/Birkdale,,
,Remuera,,Beachhaven/Birkdale,,
,Remuera South/Meadowbank South,,Beachhaven/Birkdale,,
,Rewiti/Kumeu/Riverhead,,Beachhaven/Birkdale,,
,Rothesay/Murrays/Mairangi Bays,,Beachhaven/Birkdale,,
,Royal Oak/One Tree Hill,,Beachhaven/Birkdale,,
,Rural Franklin,,Beachhaven/Birkdale,,
,St Helliers/Glendowie,,Beachhaven/Birkdale,,
,St Johns,,Beachhaven/Birkdale,,
,St Lukes/Sandringham,,Beachhaven/Birkdale,,
,Sunnynook/Westlake,,Beachhaven/Birkdale,,
,Takanini/Ardmore,,Beachhaven/Birkdale,,
,Takapuna,,Beachhaven/Birkdale,,
,Te Atatu,,Beachhaven/Birkdale,,
,Te Atatu Peninsula,,Beachhaven/Birkdale,,
,Three Kings,,Beachhaven/Birkdale,,
,Titirangi,,Beachhaven/Birkdale,,
,Torbay,,Beachhaven/Birkdale,,
,Waiheke Island,,Beachhaven/Birkdale,,
,Wairau Park/Glenfield North,,Beachhaven/Birkdale,,
,Waiuku,,Beachhaven/Birkdale,,
