orig_name,dest_name,card_fare
Avondale,Papatoetoe North,3.15
Avondale,Papatoetoe South,3.15
Avondale,Papatoetoe West,3.15
Avondale,Parnell,3.15
Avondale,Penrose/Mt Wellington South,1.85
Avondale,Ponsonby/Freemans Bay,3.15
Avondale,Pt Chevalier,1.85
Avondale,Pukekohe/Tuakau,6.1
Avondale,Ranui,3.15
Avondale,Remuera,1.85
Avondale,Remuera South/Meadowbank South,1.85
Avondale,Rewiti/Kumeu/Riverhead,
Avondale,Rothesay/Murrays/Mairangi Bays,6.1
Avondale,Royal Oak/One Tree Hill,1.85
Avondale,Rural Franklin,
Avondale,St Helliers/Glendowie,1.85
Avondale,St Johns,1.85
Avondale,St Lukes/Sandringham,1.85
Avondale,Sunnynook/Westlake,4.85
Avondale,Takanini/Ardmore,4.85
Avondale,Takapuna,4.85
Avondale,Te Atatu,3.15
Avondale,Te Atatu Peninsula,3.15
Avondale,Three Kings,3.15
Avondale,Titirangi,3.15
Avondale,Torbay,6.1
Avondale,Waiheke Island,23.0
Avondale,Wairau Park/Glenfield North,4.85
Avondale,Waiuku,6.1
Avondale,Waterview/Avondale Heights,0.0
Avondale,Wattle Downs/Conifer Grove,4.85
Avondale,Wellsford/Warkworth/Helensville,
Avondale,West Harbour,3.15
Avondale,Western Beaches/Rural,
Avondale,Western Springs/Morningside,1.85
Avondale,Westmere/Surrey Crescent,1.85
Avondale,Weymouth,4.85
Balmoral,Albany,6.1
Balmoral,Avondale,1.85
Balmoral,Beachhaven/Birkdale,4.85
Balmoral,Blockhouse Bay/New Windsor,1.85
Balmoral,Botony Downs,3.15
Balmoral,Browns Bay,6.1
Balmoral,Bucklands Beach,3.15
Balmoral,Central East,3.15
Balmoral,Central West,19.85
Balmoral,Chatswood/Birkenhead/Northcote Point,4.85
Balmoral,Dannemora,3.15
Balmoral,Devonport,9.6
Balmoral,East Coast Bays,4.85
Balmoral,Eden Terrace,3.15
Balmoral,Ellerslie,1.85
Balmoral,Epsom,1.85
Balmoral,Glen Eden,3.15
Balmoral,Glen Innes/Pt England/Wai O Taiki,1.85
Balmoral,Glendene,3.15
Balmoral,Glendhu/Glenfield,4.85
Balmoral,Greenhithe/Unsworth Heights,6.1
Balmoral,Grey Lynn/Arch Hill,3.15
Balmoral,Gulf Harbour,7.5
Balmoral,Half Moon Bay/Farm Cove,3.15
Balmoral,Henderson,3.15
Balmoral,Herne Bay/St Marys,3.15
Balmoral,Highland Park,3.15
Balmoral,Hillcrest/Northcote,4.85
Balmoral,Hillsborough,1.85
Balmoral,Howick,3.15
Balmoral,Kelston,3.15
Balmoral,Kingsland,1.85
Balmoral,Kohimarama,1.85
Balmoral,Lynfield,1.85
Balmoral,Mangere,3.15
Balmoral,Mangere Bridge/Airport,3.15
Balmoral,Mangere East,3.15
Balmoral,Manukau Central,3.15
Balmoral,Manukau Heights and Manurewa Heights,4.85
Balmoral,Manurewa North,4.85
Balmoral,Maraetai/Clevedon,
Balmoral,Massey/Royal Heights,3.15
Balmoral,Meadowbank,1.85
Balmoral,Mission Bay/Orakei,3.15
